DATE,STATE,COUNTY (TOP 3),TOTAL CASES,TOTAL DEATHS,NEW CASES,NEW DEATHS,TESTS PERFORMED THAT DAY,TOTAL TESTS PERFORMED,,,,
1-Apr,NY,QUEENS,15217,447,,,,220880,,,,
,,KINGS,12274,328,,,,,,,,
,,NASSAU,8544,63,,,,,,,,
,,BRONX,8607,360,,,,,,,,
,,SUFFOLK,7605,69,,,,,,,,
,NJ,BERGEN,3494,75,,,,52642,,,,
,,HUDSON,1910,29,,,,,,,,
,,ESSEX,2262,69,,,,,,,,
,,UNION,1661,29,,,,,,,,
,,PASSAIC,1494,15,,,,,,,,
,MA,SUFFOLK,1624,15,,,,51738,,,,
,,MIDDLESEX,1582,21,,,,,,,,
,,ESSEX,885,18,,,,,,,,
,,NORFOLK,829,16,,,,,,,,
,,WORCESTER,563,10,,,,,,,,
,MI,WAYNE,4470,146,,,,40125,,,,
,,OAKLAND,1591,70,,,,,,,,
,,MACOMB,853,38,,,,,,,,
,,GENESEE,249,8,,,,,,,,
,,WASHTENAW,401,8,,,,,,,,
,PA,PHILADELPHIA,1478,14,,,,48232,,,,
,,MONTGOMERY,649,8,,,,,,,,
,,DELEWARE,390,7,,,,,,,,
,,LEHIGH,374,5,,,,,,,,
,,BERKS,151,0,,,,,,,,
,CA,LOS ANGELES,3502,66,,,,29927,,,,
,,SAN DIEGO,851,11,,,,,,,,
,,RIVERSIDE,306,11,,,,,,,,
,,SANTA CLARA,956,33,,,,,,,,
,,ORANGE,606,10,,,,,,,,
2-Apr,NY,QUEENS,16819,499,1602,52,18085,238965,,,,
,,KINGS,12390,385,116,57,,,,,,
,,NASSAU,9555,76,1011,13,,,,,,
,,BRONX,9343,421,736,61,,,,,,
,,SUFFOLK,8746,84,1141,15,,,,,,
,NJ,BERGEN,4099,120,605,45,6468,59110,,,,
,,HUDSON,2270,44,360,15,,,,,,
,,ESSEX,2617,99,355,30,,,,,,
,,UNION,2010,34,349,5,,,,,,
,,PASSAIC,1750,22,256,7,,,,,,
,MA,SUFFOLK,1896,21,272,6,4870,56608,,,,
,,MIDDLESEX,1870,29,288,8,,,,,,
,,ESSEX,1039,19,154,1,,,,,,
,,NORFOLK,938,22,109,6,,,,,,
,,WORCESTER,667,14,104,4,,,,,,
,MI,WAYNE,5069,194,599,48,4360,44485,,,,
,,OAKLAND,2183,119,592,49,,,,,,
,,MACOMB,1332,58,479,20,,,,,,
,,GENESEE,349,10,100,2,,,,,,
,,WASHTENAW,438,8,37,0,,,,,,
,PA,PHILADELPHIA,1852,14,374,0,6482,54714,,,,
,,MONTGOMERY,735,9,86,1,,,,,,
,,DELEWARE,470,8,80,1,,,,,,
,,LEHIGH,479,5,105,0,,,,,,
,,BERKS,168,1,17,1,,,,,,
,CA,LOS ANGELES,4040,79,538,13,3073,33000,,,,
,,SAN DIEGO,968,16,117,5,,,,,,
,,RIVERSIDE,438,13,132,2,,,,,,
,,SANTA CLARA,1019,37,63,4,,,,,,
,,ORANGE,656,13,50,3,,,,,,
3-Apr,NY,QUEENS,18823,590,2004,91,21555,260520,,,,
,,KINGS,15327,485,2937,100,,,,,,
,,NASSAU,10587,138,1032,62,,,,,,
,,BRONX,10765,480,1422,59,,,,,,
,,SUFFOLK,10154,96,1408,12,,,,,,
,NJ,BERGEN,4866,132,767,12,8393,67503,,,,
,,HUDSON,2835,59,565,15,,,,,,
,,ESSEX,3067,118,450,19,,,,,,
,,UNION,2487,45,477,11,,,,,,
,,PASSAIC,2216,34,466,12,,,,,,
,MA,SUFFOLK,2183,23,287,2,6354,62962,,,,
,,MIDDLESEX,2202,39,332,10,,,,,,
,,ESSEX,1238,24,199,5,,,,,,
,,NORFOLK,1045,25,107,3,,,,,,
,,WORCESTER,825,15,158,1,,,,,,
,MI,WAYNE,6096,223,1027,29,4437,48922,,,,
,,OAKLAND,2540,136,357,17,,,,,,
,,MACOMB,1560,65,228,7,,,,,,
,,GENESEE,422,11,73,1,,,,,,
,,WASHTENAW,477,8,39,0,,,,,,
,PA,PHILADELPHIA,2284,14,432,0,7401,62115,,,,
,,MONTGOMERY,875,11,140,2,,,,,,
,,DELEWARE,542,10,72,2,,,,,,
,,LEHIGH,584,5,105,0,,,,,,
,,BERKS,201,1,33,0,,,,,,
,CA,LOS ANGELES,4566,91,526,12,2300,35300,,,,
,,SAN DIEGO,1114,17,146,1,,,,,,
,,RIVERSIDE,540,14,102,1,,,,,,
,,SANTA CLARA,1094,39,75,2,,,,,,
,,ORANGE,711,13,55,0,,,,,,
4-Apr,NY,QUEENS,20371,685,1548,95,23101,283621,,,,
,,KINGS,16488,610,1161,125,,,,,,
,,NASSAU,13346,396,2759,258,,,,,,
,,BRONX,11820,576,1055,96,,,,,,
,,SUFFOLK,12328,175,2174,79,,,,,,
,NJ,BERGEN,5760,396,894,264,7853,75356,,,,
,,HUDSON,3491,179,656,120,,,,,,
,,ESSEX,3584,78155,517,78037,,,,,,
,,UNION,2916,66,429,21,,,,,,
,,PASSAIC,2856,38,640,4,,,,,,
,MA,SUFFOLK,2429,28,246,5,5838,68800,,,,
,,MIDDLESEX,2468,39,266,0,,,,,,
,,ESSEX,1400,26,162,2,,,,,,
,,NORFOLK,1199,26,154,1,,,,,,
,,WORCESTER,915,18,90,3,,,,,,
,MI,WAYNE,6762,252,666,29,4878,53800,,,,
,,OAKLAND,3035,163,495,27,,,,,,
,,MACOMB,2003,83,443,18,,,,,,
,,GENESEE,464,15,42,4,,,,,,
,,WASHTENAW,501,8,24,0,,,,,,
,PA,PHILADELPHIA,2610,24,326,10,7915,70030,,,,
,,MONTGOMERY,982,17,107,6,,,,,,
,,DELEWARE,616,13,74,3,,,,,,
,,LEHIGH,804,7,220,2,,,,,,
,,BERKS,235,2,34,1,,,,,,
,CA,LOS ANGELES,5275,117,709,26,78400,113700,,,,
,,SAN DIEGO,1211,18,97,1,,,,,,
,,RIVERSIDE,652,15,112,1,,,,,,
,,SANTA CLARA,1148,40,54,1,,,,,,
,,ORANGE,786,14,75,1,,,,,,
5-Apr,NY,QUEENS,21781,771,1410,86,18659,302280,,,,
,,KINGS,17520,668,1032,58,,,,,,
,,NASSAU,14398,396,1052,0,,,,,,
,,BRONX,12738,627,918,51,,,,,,
,,SUFFOLK,12933,175,605,0,,,,,,
,NJ,BERGEN,6187,189,427,-207,6810,82166,,,,
,,HUDSON,3924,87,433,-92,,,,,,
,,ESSEX,4082,172,498,-77983,,,,,,
,,UNION,3216,71,300,5,,,,,,
,,PASSAIC,3227,42,371,4,,,,,,
,MA,SUFFOLK,2658,29,229,1,3137,71937,,,,
,,MIDDLESEX,2632,42,164,3,,,,,,
,,ESSEX,1506,28,106,2,,,,,,
,,NORFOLK,1271,27,72,1,,,,,,
,,WORCESTER,978,18,63,0,,,,,,
,MI,WAYNE,7518,293,756,41,4098,57898,,,,
,,OAKLAND,3074,165,39,2,,,,,,
,,MACOMB,2003,83,0,0,,,,,,
,,GENESEE,504,18,40,3,,,,,,
,,WASHTENAW,521,8,20,0,,,,,,
,PA,PHILADELPHIA,3135,28,525,4,7741,77771,,,,
,,MONTGOMERY,1111,22,129,5,,,,,,
,,DELEWARE,708,14,92,1,,,,,,
,,LEHIGH,877,8,73,1,,,,,,
,,BERKS,276,3,41,1,,,,,,
,CA,LOS ANGELES,5892,130,617,13,2833,116533,,,,
,,SAN DIEGO,1328,19,117,1,,,,,,
,,RIVERSIDE,669,17,17,2,,,,,,
,,SANTA CLARA,1207,40,59,0,,,,,,
,,ORANGE,834,14,48,0,,,,,,
6-Apr,NY,QUEENS,23083,876,1302,105,18531,320811,,,,
,,KINGS,18434,738,914,70,,,,,,
,,NASSAU,14398,535,0,139,,,,,,
,,BRONX,13680,679,942,52,,,,,,
,,SUFFOLK,14473,237,1540,62,,,,,,
,NJ,BERGEN,6862,200,675,11,6866,89032,,,,
,,HUDSON,4395,92,471,5,,,,,,
,,ESSEX,4493,186,411,14,,,,,,
,,UNION,3685,78,469,7,,,,,,
,,PASSAIC,3756,53,529,11,,,,,,
,MA,SUFFOLK,2929,33,271,4,4492,76429,,,,
,,MIDDLESEX,2950,48,318,6,,,,,,
,,ESSEX,1653,31,147,3,,,,,,
,,NORFOLK,1382,30,111,3,,,,,,
,,WORCESTER,1077,19,99,1,,,,,,
,MI,WAYNE,8270,346,752,53,4072,61970,,,,
,,OAKLAND,3380,185,306,20,,,,,,
,,MACOMB,2159,100,156,17,,,,,,
,,GENESEE,568,26,64,8,,,,,,
,,WASHTENAW,543,10,22,2,,,,,,
,PA,PHILADELPHIA,3611,28,476,0,6083,83854,,,,
,,MONTGOMERY,1230,22,119,0,,,,,,
,,DELEWARE,822,15,114,1,,,,,,
,,LEHIGH,1006,8,129,0,,,,,,
,,BERKS,326,3,50,0,,,,,,
,CA,LOS ANGELES,6346,145,454,15,898,117431,,,,
,,SAN DIEGO,1406,19,78,0,,,,,,
,,RIVERSIDE,854,17,185,0,,,,,,
,,SANTA CLARA,1224,40,17,0,,,,,,
,,ORANGE,882,14,48,0,,,,,,
7-Apr,NY,QUEENS,24809,1129,1726,253,19247,340058,,,,
,,KINGS,20235,946,1801,208,,,,,,
,,NASSAU,16610,620,2212,85,,,,,,
,,BRONX,14941,902,1261,223,,,,,,
,,SUFFOLK,15561,266,1088,29,,,,,,
,NJ,BERGEN,7533,263,671,63,5942,94974,,,,
,,HUDSON,4949,103,554,11,,,,,,
,,ESSEX,5078,232,585,46,,,,,,
,,UNION,4358,95,673,17,,,,,,
,,PASSAIC,4101,62,345,9,,,,,,
,MA,SUFFOLK,3245,42,316,9,4915,81344,,,,
,,MIDDLESEX,3187,69,237,21,,,,,,
,,ESSEX,1841,37,188,6,,,,,,
,,NORFOLK,1592,36,210,6,,,,,,
,,WORCESTER,1172,24,95,5,,,,,,
,MI,WAYNE,9045,402,775,56,3403,65373,,,,
,,OAKLAND,3736,205,356,20,,,,,,
,,MACOMB,2414,121,255,21,,,,,,
,,GENESEE,638,33,70,7,,,,,,
,,WASHTENAW,561,12,18,2,,,,,,
,PA,PHILADELPHIA,4012,58,401,30,7424,91278,,,,
,,MONTGOMERY,1359,30,129,8,,,,,,
,,DELEWARE,898,20,76,5,,,,,,
,,LEHIGH,1146,10,140,2,,,,,,
,,BERKS,369,4,43,1,,,,,,
,CA,LOS ANGELES,6885,170,539,25,13798,131229,,,,
,,SAN DIEGO,1456,31,50,12,,,,,,
,,RIVERSIDE,905,25,51,8,,,,,,
,,SANTA CLARA,1285,44,61,4,,,,,,
,,ORANGE,931,15,49,1,,,,,,
8-Apr,NY,QUEENS,26204,1344,1395,215,25095,365153,,,,
,,KINGS,21580,1185,1345,239,,,,,,
,,NASSAU,18548,701,1938,81,,,,,,
,,BRONX,16419,1001,1478,99,,,,,,
,,SUFFOLK,15844,328,283,62,,,,,,
,NJ,BERGEN,7874,314,341,51,5442,100416,,,,
,,HUDSON,5437,122,488,19,,,,,,
,,ESSEX,5598,276,520,44,,,,,,
,,UNION,4831,125,473,30,,,,,,
,,PASSAIC,4372,71,271,9,,,,,,
,MA,SUFFOLK,3600,50,355,8,6167,87511,,,,
,,MIDDLESEX,3545,80,358,11,,,,,,
,,ESSEX,2103,52,262,15,,,,,,
,,NORFOLK,1778,42,186,6,,,,,,
,,WORCESTER,1296,30,124,6,,,,,,
,MI,WAYNE,9626,446,581,44,766,66139,,,,
,,OAKLAND,4007,234,271,29,,,,,,
,,MACOMB,2626,141,212,20,,,,,,
,,GENESEE,713,39,75,6,,,,,,
,,WASHTENAW,610,13,49,1,,,,,,
,PA,PHILADELPHIA,4456,86,444,28,7260,98538,,,,
,,MONTGOMERY,1521,37,162,7,,,,,,
,,DELEWARE,1034,23,136,3,,,,,,
,,LEHIGH,1319,11,173,1,,,,,,
,,BERKS,416,7,47,3,,,,,,
,CA,LOS ANGELES,7505,196,620,26,13035,144264,,,,
,,SAN DIEGO,1532,36,76,5,,,,,,
,,RIVERSIDE,974,28,69,3,,,,,,
,,SANTA CLARA,1380,47,95,3,,,,,,
,,ORANGE,1016,17,85,2,,,,,,
9-Apr,NY,QUEENS,27759,1493,1555,149,26396,391549,,,,
,,KINGS,23408,1341,1828,156,,,,,,
,,NASSAU,20140,778,1592,77,,,,,,
,,BRONX,18736,1135,2317,134,,,,,,
,,SUFFOLK,17413,369,1569,41,,,,,,
,NJ,BERGEN,8343,345,469,31,6776,107192,,,,
,,HUDSON,5879,132,442,10,,,,,,
,,ESSEX,6069,312,471,36,,,,,,
,,UNION,5203,145,372,20,,,,,,
,,PASSAIC,4690,82,318,11,,,,,,
,MA,SUFFOLK,4041,56,441,6,7447,94958,,,,
,,MIDDLESEX,4045,93,500,13,,,,,,
,,ESSEX,2336,61,233,9,,,,,,
,,NORFOLK,2007,52,229,10,,,,,,
,,WORCESTER,1461,31,165,1,,,,,,
,MI,WAYNE,10093,504,467,58,915,67054,,,,
,,OAKLAND,4247,246,240,12,,,,,,
,,MACOMB,2783,165,157,24,,,,,,
,,GENESEE,755,48,42,9,,,,,,
,,WASHTENAW,637,15,27,2,,,,,,
,PA,PHILADELPHIA,5029,86,573,0,7064,105602,,,,
,,MONTGOMERY,1693,37,172,0,,,,,,
,,DELEWARE,1222,26,188,3,,,,,,
,,LEHIGH,1466,13,147,2,,,,,,
,,BERKS,616,8,200,1,,,,,,
,CA,LOS ANGELES,7919,220,414,24,19236,163500,,,,
,,SAN DIEGO,1630,40,98,4,,,,,,
,,RIVERSIDE,1083,29,109,1,,,,,,
,,SANTA CLARA,1442,48,62,1,,,,,,
,,ORANGE,1079,17,63,0,,,,,,
10-Apr,NY,QUEENS,29754,1759,1995,266,26336,417885,,,,
,,KINGS,24846,1510,1438,169,,,,,,
,,NASSAU,21512,890,1372,112,,,,,,
,,BRONX,20543,1241,1807,106,,,,,,
,,SUFFOLK,18692,425,1279,56,,,,,,
,NJ,BERGEN,8928,390,585,45,6331,113523,,,,
,,HUDSON,6411,163,532,31,,,,,,
,,ESSEX,6580,352,511,40,,,,,,
,,UNION,5575,161,372,16,,,,,,
,,PASSAIC,5017,101,327,19,,,,,,
,MA,SUFFOLK,4534,73,493,17,7414,102372,,,,
,,MIDDLESEX,4447,109,402,16,,,,,,
,,ESSEX,2670,80,334,19,,,,,,
,,NORFOLK,2216,66,209,14,,,,,,
,,WORCESTER,1678,38,217,7,,,,,,
,MI,WAYNE,10539,609,446,105,4990,72044,,,,
,,OAKLAND,4511,282,264,36,,,,,,
,,MACOMB,2973,197,190,32,,,,,,
,,GENESEE,828,57,73,9,,,,,,
,,WASHTENAW,659,15,22,0,,,,,,
,PA,PHILADELPHIA,5521,110,492,24,7417,113019,,,,
,,MONTGOMERY,1889,62,196,25,,,,,,
,,DELEWARE,1377,30,155,4,,,,,,
,,LEHIGH,1562,16,96,3,,,,,,
,,BERKS,720,12,104,4,,,,,,
,CA,LOS ANGELES,8384,241,465,21,1363,164863,,,,
,,SAN DIEGO,1695,54,65,14,,,,,,
,,RIVERSIDE,1162,38,79,9,,,,,,
,,SANTA CLARA,1484,50,42,2,,,,,,
,,ORANGE,1138,17,59,0,,,,,,
11-Apr,NY,QUEENS,31044,1848,1290,89,23095,440980,,,,
,,KINGS,26042,1618,1196,108,,,,,,
,,NASSAU,21512,965,0,75,,,,,,
,,BRONX,21523,1308,980,67,,,,,,
,,SUFFOLK,19883,469,1191,44,,,,,,
,NJ,BERGEN,9362,435,434,45,565070,678593,,,,
,,HUDSON,7007,183,596,20,,,,,,
,,ESSEX,6851,412,271,60,,,,,,
,,UNION,5865,195,290,34,,,,,,
,,PASSAIC,5295,119,278,18,,,,,,
,MA,SUFFOLK,4926,81,392,8,6404,108776,,,,
,,MIDDLESEX,4872,137,425,28,,,,,,
,,ESSEX,2896,92,226,12,,,,,,
,,NORFOLK,2395,81,179,15,,,,,,
,,WORCESTER,1822,42,144,4,,,,,,
,MI,WAYNE,10951,652,412,43,3970,76014,,,,
,,OAKLAND,4802,316,291,34,,,,,,
,,MACOMB,3164,209,191,12,,,,,,
,,GENESEE,919,62,91,5,,,,,,
,,WASHTENAW,685,18,26,3,,,,,,
,PA,PHILADELPHIA,6022,130,501,20,7134,120153,,,,
,,MONTGOMERY,2053,68,164,6,,,,,,
,,DELEWARE,1510,39,133,9,,,,,,
,,LEHIGH,1620,16,58,0,,,,,,
,,BERKS,930,19,210,7,,,,,,
,CA,LOS ANGELES,8823,265,439,24,8356,173219,,,,
,,SAN DIEGO,1763,54,68,0,,,,,,
,,RIVERSIDE,1260,38,98,0,,,,,,
,,SANTA CLARA,1566,52,82,2,,,,,,
,,ORANGE,1221,18,83,1,,,,,,
12-Apr,NY,QUEENS,32749,1994,1705,146,20621,461601,,,,
,,KINGS,27462,1746,1420,128,,,,,,
,,NASSAU,22584,1030,1072,65,,,,,,
,,BRONX,22709,1400,1186,92,,,,,,
,,SUFFOLK,20816,529,933,60,,,,,,
,NJ,BERGEN,9784,453,422,18,-551858,126735,,,,
,,HUDSON,7469,226,462,43,,,,,,
,,ESSEX,7410,428,559,16,,,,,,
,,UNION,6180,209,315,14,,,,,,
,,PASSAIC,5590,131,295,12,,,,,,
,MA,SUFFOLK,5359,88,433,7,7954,116730,,,,
,,MIDDLESEX,5660,149,788,12,,,,,,
,,ESSEX,3170,102,274,10,,,,,,
,,NORFOLK,2649,93,254,12,,,,,,
,,WORCESTER,2032,49,210,7,,,,,,
,MI,WAYNE,11164,704,213,52,3423,79437,,,,
,,OAKLAND,4915,329,113,13,,,,,,
,,MACOMB,3254,217,90,8,,,,,,
,,GENESEE,955,68,36,6,,,,,,
,,WASHTENAW,716,18,31,0,,,,,,
,PA,PHILADELPHIA,6352,128,330,-2,4737,124890,,,,
,,MONTGOMERY,2164,68,111,0,,,,,,
,,DELEWARE,1594,39,84,0,,,,,,
,,LEHIGH,1684,18,64,2,,,,,,
,,BERKS,1035,20,105,1,,,,,,
,CA,LOS ANGELES,9133,296,310,31,17109,190328,,,,
,,SAN DIEGO,1806,55,43,1,,,,,,
,,RIVERSIDE,1330,39,70,1,,,,,,
,,SANTA CLARA,1621,54,55,2,,,,,,
,,ORANGE,1277,19,56,1,,,,,,
13-Apr,NY,QUEENS,33468,2105,719,111,16756,478357,,,,
,,KINGS,28035,1869,573,123,,,,,,
,,NASSAU,24358,1109,1774,79,,,,,,
,,BRONX,23352,1512,643,112,,,,,,
,,SUFFOLK,21643,580,827,51,,,,,,
,NJ,BERGEN,10092,482,308,29,2734,129469,,,,
,,HUDSON,7879,236,410,10,,,,,,
,,ESSEX,7634,433,224,5,,,,,,
,,UNION,6636,217,456,8,,,,,,
,,PASSAIC,5950,136,360,5,,,,,,
,MA,SUFFOLK,5579,106,220,18,5319,122049,,,,
,,MIDDLESEX,5983,163,323,14,,,,,,
,,ESSEX,3413,114,243,12,,,,,,
,,NORFOLK,2838,107,189,14,,,,,,
,,WORCESTER,2128,51,96,2,,,,,,
,MI,WAYNE,11648,760,484,56,3207,82644,,,,
,,OAKLAND,5073,347,158,18,,,,,,
,,MACOMB,3418,240,164,23,,,,,,
,,GENESEE,988,77,33,9,,,,,,
,,WASHTENAW,736,18,20,0,,,,,,
,PA,PHILADELPHIA,6810,127,458,-1,4902,129792,,,,
,,MONTGOMERY,2285,91,121,23,,,,,,
,,DELEWARE,1712,40,118,1,,,,,,
,,LEHIGH,1747,19,63,1,,,,,,
,,BERKS,1150,21,115,1,,,,,,
,CA,LOS ANGELES,9367,320,234,24,554,190882,,,,
,,SAN DIEGO,1849,66,43,11,,,,,,
,,RIVERSIDE,1460,50,130,11,,,,,,
,,SANTA CLARA,1666,61,45,7,,,,,,
,,ORANGE,1283,19,6,0,,,,,,
14-Apr,NY,QUEENS,33616,2105,148,0,20786,499143,,,,
,,KINGS,28138,1869,103,0,,,,,,
,,NASSAU,25250,1217,892,108,,,,,,
,,BRONX,23426,1584,74,72,,,,,,
,,SUFFOLK,22462,617,819,37,,,,,,
,NJ,BERGEN,10426,550,334,68,10305,139774,,,,
,,HUDSON,8242,277,363,41,,,,,,
,,ESSEX,8212,535,578,102,,,,,,
,,UNION,7265,238,629,21,,,,,,
,,PASSAIC,6438,156,488,20,,,,,,
,MA,SUFFOLK,5872,120,293,14,4502,126551,,,,
,,MIDDLESEX,6254,188,271,25,,,,,,
,,ESSEX,3594,126,181,12,,,,,,
,,NORFOLK,2969,125,131,18,,,,,,
,,WORCESTER,2246,57,118,6,,,,,,
,MI,WAYNE,12209,820,561,60,3582,86226,,,,
,,OAKLAND,5364,364,291,17,,,,,,
,,MACOMB,3620,293,202,53,,,,,,
,,GENESEE,1030,86,42,9,,,,,,
,,WASHTENAW,772,21,36,3,,,,,,
,PA,PHILADELPHIA,7121,206,311,79,3839,133631,,,,
,,MONTGOMERY,2354,109,69,18,,,,,,
,,DELEWARE,1806,46,94,6,,,,,,
,,LEHIGH,1803,23,56,4,,,,,,
,,BERKS,1247,27,97,6,,,,,,
,CA,LOS ANGELES,9948,360,581,40,11326,202208,,,,
,,SAN DIEGO,1932,67,83,1,,,,,,
,,RIVERSIDE,1467,54,7,4,,,,,,
,,SANTA CLARA,1666,61,0,0,,,,,,
,,ORANGE,1299,19,16,0,,,,,,
15-Apr,NY,QUEENS,36765,2179,3149,74,26869,526012,,,,
,,KINGS,31969,1954,3831,85,,,,,,
,,NASSAU,26715,1286,1465,69,,,,,,
,,BRONX,24587,1749,1161,165,,,,,,
,,SUFFOLK,23278,663,816,46,,,,,,
,NJ,BERGEN,10848,608,422,58,4247,144021,,,,
,,HUDSON,8511,312,269,35,,,,,,
,,ESSEX,8579,590,367,55,,,,,,
,,UNION,7438,269,173,31,,,,,,
,,PASSAIC,6750,182,312,26,,,,,,
,MA,SUFFOLK,6279,147,407,27,5472,132023,,,,
